user_id	age	gender	occupation	city	income_level	education_level	device_type	vip_flag	real_name_flag_new	innet_dur	comm_num	famstru_id
d7a20927539538339e9a79804c4c24c6	42	0	3	579	4	1	ANDROID	0	1	251	64.0	5
ce0e79ab8331d0efe1cba87d20f2d88f	50	1	0	576	3	1	ANDROID	0	1	17	2.0	4
66a8a4800882c2ef3ff8d0826a57d78c	44	0	6	572	4	1	ANDROID	0	1	273	30.0	5
d6a70c28193f6d39e6f451e3b6cf0fbe	37	1	16	571	5	2	ANDROID	0	1	112	9.0	5
e16d9904502847e3cd23bc7123414979	37	1	6	579	4	1	IOS	1	1	190	105.0	5
5c9072cf031f109e0815fd6a52202a82	26	0	17	571	3	1	IOS	0	1	84	10.0	-99
b4a60369bd10cc41a6208ce07fc04f66	34	1	3	577	4	1	IOS	0	1	159	84.0	7
d37925b82a432467f48f582d522e021f	41	0	0	571	3	1	ANDROID	0	1	203	18.0	5
7cce092766a5367d22f6e178d4eeaf28	30	0	6	572	4	1	ANDROID	1	1	133	47.0	7
7071c9cd967f04ea5507ad78b5a53051	38	0	17	576	4	1	ANDROID	0	1	179	17.0	7
db1deabdf4bfbd176c43a4e17d07af8a	36	1	3	579	4	1	IOS	1	1	66	488.0	-99
a470f0c3ea7e83eaa4392d1043fa01d0	44	0	6	571	4	1	ANDROID	1	1	268	66.0	5
ed469c3c1b73986215e8da2788379899	45	0	0	576	4	1	ANDROID	0	1	29	39.0	-99
f6d030142fcdecb8a2bed5f256619d20	59	1	11	579	4	1	ANDROID	1	1	66	70.0	5
5a5c4e5516cd75e2500357d8d67a133e	41	1	0	574	4	1	ANDROID	0	1	168	29.0	5
071d49488a51579cf8fcd8be5970d39f	36	0	0	573	3	0	ANDROID	0	1	2	4.0	7
94e2708f27f008a2e4aec557800260bc	28	1	17	571	4	1	IOS	1	1	142	50.0	7
2263cb74db8c99566a8d2c018b2e7a74	54	1	6	577	3	1	IOS	0	1	161	58.0	5
4a83b59ab386c2dce1fa7ac3c8dacc18	34	0	9	576	4	2	ANDROID	0	1	132	16.0	7
2b62d18081f98476224c0c52db0ae999	32	0	11	578	3	1	ANDROID	0	1	82	47.0	7
362358a1ed38018a1f1d2076e5f454dd	49	1	0	571	4	1	ANDROID	1	1	196	27.0	-99
05bfd38ce7d0feba65df4ed5963686c3	58	0	0	572	4	1	ANDROID	0	1	192	23.0	-99
d0489a2c2e4522e2a3768c5f49a5240e	57	0	17	571	4	1	ANDROID	0	1	154	53.0	6
e85ef51834bb8db71498c72984a1be10	40	1	6	571	4	1	IOS	1	1	112	67.0	7
35d55c52d91382ad346f89295268b2a3	26	1	6	578	4	1	ANDROID	1	1	84	19.0	7
77818f46a172efc6ec4525c5472f4f65	19	1	0	574	1	0	ANDROID	0	1	9	2.0	-99
3e9d7f2aec801551f22046eb40dc85c1	60	1	23	571	3	1	IOS	0	1	142	26.0	6
5efe5aac63e47e8e87b2d88a4ee6c16a	36	1	0	576	3	0	ANDROID	0	1	142	6.0	-99
5768b62ea7343555203bfa28ce1fd033	62	0	19	574	4	2	ANDROID	1	1	280	31.0	1
ab4dcd4ac0be36eb0a927a37ed855e41	22	0	0	574	2	2	ANDROID	0	1	45	1.0	1
890e3f212f7957c3561df7739abe5f93	33	1	3	573	4	1	HarmonyOS	1	1	104	139.0	-99
36fe9bb6b5526ea66d8ae406e0fe8d02	39	0	5	577	4	2	IOS	0	1	203	44.0	5
0c4c9bc3c86abe969cba0f6f57edb504	40	0	19	571	4	2	ANDROID	1	1	233	10.0	5
332803f12a305aa9e43ac269b70ccc44	20	0	6	574	3	1	ANDROID	0	1	38	13.0	7
83c4d5980103b48ac9754f58f9b9e023	44	0	0	574	3	1	ANDROID	0	1	36	5.0	7
7c1c2a105309b92222aed5786d6d860b	36	1	3	573	5	1	ANDROID	1	1	135	99.0	7
227923a036c0a351ba956d8b88f7fbf0	0	-99	6	576	3	1	ANDROID	0	1	17	18.0	-99
2a7ed82f3c8a793122636ed850529701	32	0	17	580	4	1	ANDROID	0	1	113	43.0	1
c8ceebb32f8b478a5d11366ca78a81c6	54	1	0	574	3	1	ANDROID	0	1	129	13.0	5
3ff1cde10cd17c3e169f31aba2bbb472	60	1	12	576	3	1	ANDROID	0	1	24	22.0	6
5204effc2817f92280d467ce33ba40c7	29	1	3	573	4	1	IOS	0	1	5	14.0	-99
f0210ffd3a085754ff8e21d02a25ef99	37	1	23	571	1	0	ANDROID	0	1	74	33.0	-99
b6f2d9b690d005e8f76860b8068f3a54	64	1	23	575	3	1	ANDROID	0	1	47	21.0	6
