user_id	age	gender	occupation	city	income_level	education_level	device_type	vip_flag	real_name_flag_new	innet_dur	comm_num	famstru_id
3ab39e04127604d7b33640097d87bb62	55	1	17	574	4	1	ANDROID	1	1	220	45.0	5
dd9567dedcb13833a7d3430ecf967d9e	56	1	0	575	3	1	ANDROID	1	1	308	29.0	6
1216e4494820c9097a06a2d9a5914b48	21	0	6	571	3	2	IOS	0	1	33	2.0	1
55391a3e5b94769a4f0b2421e289c729	59	1	3	573	4	1	COLOR OS	1	1	231	52.0	-99
9b1e113f12cbc1067f7c29d7ed06063b	62	1	3	576	4	1	ANDROID	1	1	298	141.0	6
733c95e2cee8d35ac3aaf0af7bcb1b28	23	0	0	574	3	2	ANDROID	0	1	45	2.0	1
186ce1e28e90e7210621a6631c8febbd	59	1	3	577	4	1	ANDROID	0	1	171	45.0	5
80ab8652df643a1cafac67dedb8953f1	33	0	17	571	3	1	IOS	1	1	154	65.0	2
7794e155148808e4a8b904424a89aa45	48	1	23	571	4	1	ANDROID	1	1	114	11.0	7
fc7e442a27a76c7531a27bab9dff1f4b	48	1	3	573	5	2	ANDROID	1	1	202	261.0	5
1aec91da37c1b1f3b4b9000856f2c329	53	0	4	571	3	1	ANDROID	1	1	217	10.0	7
bb769997714729f6fe04134f9161f657	32	0	6	571	4	1	ANDROID	0	1	154	43.0	5
14562e070eb5ef5eec7afec5586d18ff	37	0	17	577	4	1	IOS	0	1	172	27.0	5
104a8fff5fa3528bde0f99574c89d63e	36	1	19	577	4	2	ANDROID	0	1	36	45.0	-99
14846f58502d187cd028f4b296cfed9b	68	1	23	578	2	1	ANDROID	0	1	83	4.0	6
fd7b827209458e55ce2e1a02924a71b1	39	1	0	576	3	0	ANDROID	0	1	49	12.0	2
2a86f2094285033f661adaad2d90918a	47	1	0	577	5	1	HarmonyOS	1	1	280	53.0	-99
bf359e09bda26f068ef960453e9c6450	60	1	17	576	3	1	ANDROID	0	1	88	4.0	5
16340740013144ad87f5b8b54413343a	42	0	0	574	3	1	ANDROID	0	1	8	1.0	7
9005bd873c1465b9b137828ab94066f4	47	1	4	570	5	1	ANDROID	1	1	289	54.0	3
75cb003d60c2a08e269776598af7133f	36	1	19	571	4	2	ANDROID	0	1	191	27.0	1
b6d2d1ca29b2fd51cb0d37ee29ccc477	37	0	17	576	2	1	IOS	0	1	11	10.0	-99
aa859ef2040d2bfbe97b6d25aa919219	40	0	14	575	4	1	HarmonyOS	0	1	229	43.0	1
5e406e87fe399e5ef93cec72c4877171	33	1	16	575	5	2	IOS	1	1	147	82.0	7
250cc3cbd19711391b6da1ac90635e4c	48	1	23	580	3	1	ANDROID	0	1	28	5.0	7
00e93b77ee9a0932a0ba5c4e833a8708	44	1	4	571	4	1	HarmonyOS	1	1	129	144.0	5
dd7747609631f8e3c8ed24c611a4351f	32	0	17	571	2	1	ANDROID	0	1	8	27.0	-99
1d050e6d217a0e19f2e3255fa3ffe3d7	53	1	17	573	4	1	ANDROID	1	1	172	9.0	5
e4627999a3875ab6dd74f98a032e3dad	55	1	5	574	4	2	IOS	0	1	289	93.0	5
a4c32d7ca7e5358df6d1448430fd0d37	62	0	23	575	1	1	ANDROID	0	1	28	5.0	1
c3546951cacf199e573054dfbfdd15a5	38	0	8	572	1	2	HarmonyOS	0	1	2	1.0	5
03873b62477386d7382b3941bb38d8ef	50	0	0	575	2	1	RTOS系统	0	1	28	3.0	1
2b5fcea87b4d43ecc96632aaa6663334	41	0	17	576	3	1	RTOS系统	0	1	7	6.0	3
7691c909133e48d9a5709365daff2d4a	38	0	17	576	2	1	N	0	1	7	2.0	7
1d3ce24fa0f7570a666d11e3247b07b6	60	1	17	577	2	1	IOS	0	1	156	11.0	5
8975372ede1e8f0d52db3434db29ab7d	19	0	6	574	3	1	IOS	0	1	27	17.0	7
694325ee07ba438ccc508c239799acb9	38	0	16	571	5	2	IOS	0	1	190	67.0	5
dab812cf6c7d6c1dc3896a4d976e9237	29	0	6	580	3	1	IOS	1	1	67	154.0	5
